topic,status,first_taught,last_practised,last_successful_use,confidence,problems_attempted,problems_solved_without_help,common_mistakes,review_priority,notes
Python Basics,Introduced,,,,1,0,0,"not yet practised",High,"Student is a complete beginner; needs fundamentals before DSA"
Arrays,Not Yet Learned,,,,1,0,0,"",High,"Core starting topic for LeetCode"
Hash Maps,Not Yet Learned,,,,1,0,0,"",High,"Key optimisation technique"
Two Pointers,Not Yet Learned,,,,1,0,0,"",Medium,"Common array technique"
Sliding Window,Not Yet Learned,,,,1,0,0,"",Medium,"Builds on two pointers"
Recursion,Not Yet Learned,,,,1,0,0,"",Medium,"Prep for trees/backtracking/DP"
Stack,Not Yet Learned,,,,1,0,0,"",Low,""
Queue,Not Yet Learned,,,,1,0,0,"",Low,""
Linked List,Not Yet Learned,,,,1,0,0,"",Low,""
Binary Search,Not Yet Learned,,,,1,0,0,"",Medium,""
Trees,Not Yet Learned,,,,1,0,0,"",Low,""
Graph Traversal,Not Yet Learned,,,,1,0,0,"",Low,""
Dynamic Programming,Not Yet Learned,,,,1,0,0,"",Low,""
Backtracking,Not Yet Learned,,,,1,0,0,"",Low,""
Greedy,Not Yet Learned,,,,1,0,0,"",Low,""
Heap,Not Yet Learned,,,,1,0,0,"",Low,""
